DF,FW,GK,MF,MFFW,Pos,Gls,Ast,CrdY,Fls,Fld,Off,Crs,Int,TklW
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.19,0.19,1.37,1.28,0.09,0.43,0.38,0.38
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.0,0.09,0.28,0.0,0.0,0.09,0.0
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.53,1.78,0.33,0.07,0.0,0.72,1.05
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.09,0.77,1.37,0.09,2.99,1.79,2.48
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.07,0.0,0.47,0.47,0.07,0.27,0.74,1.07
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,FW,0.13,0.25,0.38,3.16,3.16,1.39,4.18,0.76,0.89
1.0,0.0,0.0,0.0,0.0,DF,0.09,0.0,0.13,0.78,0.56,0.0,0.09,0.65,0.48
1.0,0.0,0.0,0.0,0.0,DF,0.03,0.06,0.26,1.23,1.36,0.03,5.06,1.33,1.59
0.0,0.0,0.0,1.0,0.0,MF,0.03,0.12,0.25,1.26,0.28,0.0,0.46,0.71,0.86
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.23,0.93,1.86,0.0,4.65,1.86,1.4
0.0,1.0,0.0,0.0,0.0,FW,0.37,0.06,0.19,1.42,1.67,0.12,0.19,0.25,0.31
0.0,0.0,0.0,1.0,0.0,MF,0.1,0.07,0.2,1.92,1.26,0.03,0.17,0.66,0.99
1.0,0.0,0.0,0.0,0.0,DF,0.27,0.0,0.4,1.73,0.93,0.27,4.0,1.73,1.6
0.0,0.0,0.0,1.0,0.0,MF,0.16,0.0,0.48,1.43,3.33,0.48,3.81,0.0,0.63
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.15,2.27,0.76,0.0,0.15,1.67,1.36
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.05,0.45,1.46,0.71,0.0,2.42,1.87,1.52
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.24,0.73,2.2,1.46,0.24,0.98,0.73,0.98
0.0,0.0,0.0,1.0,0.0,MF,0.33,0.33,0.0,1.0,1.0,0.0,3.33,0.0,0.33
0.0,1.0,0.0,0.0,0.0,FW,0.38,0.0,0.75,3.21,3.02,1.13,0.0,0.19,0.75
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.04,0.22,0.91,1.09,0.0,3.32,0.91,1.17
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.09,0.32,1.01,3.03,0.32,3.35,1.06,1.28
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.14,0.0,0.41,2.6,0.55,0.0,0.41,1.64,1.92
0.0,0.0,0.0,0.0,1.0,MFFW,0.0,0.0,0.23,1.86,0.7,0.0,2.79,1.16,1.16
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.38,1.62,1.62,0.0,0.62,0.75,1.75
0.0,0.0,0.0,1.0,0.0,MF,0.14,0.0,0.41,1.51,2.05,0.0,2.05,0.55,1.51
0.0,0.0,0.0,1.0,0.0,MF,0.23,0.23,0.23,1.13,3.58,0.23,5.65,0.45,1.03
0.0,0.0,0.0,1.0,0.0,MF,0.07,0.21,0.28,1.47,0.63,0.0,2.59,1.33,0.49
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.1,0.58,0.49,0.1,0.49,0.29,0.78
0.0,0.0,0.0,1.0,0.0,MF,0.2,0.05,0.26,0.87,3.16,0.1,3.21,0.56,0.87
0.0,0.0,0.0,0.0,1.0,MFFW,0.11,0.11,0.05,0.82,1.9,0.11,2.28,1.14,0.76
1.0,0.0,0.0,0.0,0.0,DF,0.07,0.1,0.41,1.03,0.92,0.03,3.56,1.2,1.37
