DF,FW,GK,MF,MFFW,Pos,Gls,Ast,CrdY,Fls,Fld,Off,Crs,Int,TklW
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.17,2.2,2.37,0.0,0.34,1.36,2.03
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.43,2.17,0.0,0.0,0.43,2.61,1.74
0.0,0.0,0.0,1.0,0.0,MF,0.26,0.32,0.06,0.9,1.23,0.13,3.16,0.26,1.03
1.0,0.0,0.0,0.0,0.0,DF,0.15,0.04,0.19,1.21,1.28,0.0,2.0,0.57,1.13
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.28,0.98,0.74,0.06,0.09,0.89,0.52
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.19,0.63,1.14,0.19,2.09,1.2,1.08
0.0,0.0,0.0,1.0,0.0,MF,0.14,0.34,0.41,1.49,2.77,0.14,3.72,0.74,1.28
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.16,0.23,2.34,0.39,0.0,0.86,1.33,1.88
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.2,1.02,0.2,0.2,1.43,1.02,1.63
1.0,0.0,0.0,0.0,0.0,DF,0.05,0.11,0.22,1.21,1.1,0.05,4.23,1.15,1.65
0.0,0.0,0.0,1.0,0.0,MF,0.09,0.09,0.45,1.44,1.08,0.0,5.32,0.45,1.71
0.0,0.0,0.0,0.0,1.0,MFFW,0.09,0.09,0.19,2.06,3.46,0.84,0.28,0.47,1.59
0.0,0.0,0.0,1.0,0.0,MF,0.05,0.0,0.14,1.17,1.85,0.05,0.5,0.54,0.45
0.0,0.0,0.0,0.0,1.0,MFFW,0.44,0.0,0.29,0.74,1.32,1.32,0.59,0.44,1.18
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,FW,0.16,0.16,0.62,2.66,1.09,0.0,0.16,0.16,0.62
0.0,0.0,0.0,1.0,0.0,MF,0.09,0.05,0.14,1.09,0.5,0.0,0.45,1.45,1.14
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.3,1.52,1.21,0.0,0.0,1.21,0.3
1.0,0.0,0.0,0.0,0.0,DF,0.08,0.0,0.04,0.46,0.38,0.0,0.17,0.83,0.21
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.62,3.12,0.94,0.0,0.0,0.94,2.5
0.0,1.0,0.0,0.0,0.0,FW,0.3,0.2,0.2,1.8,2.8,0.3,1.1,0.0,1.0
0.0,0.0,1.0,0.0,0.0,GK,0.06,0.0,0.06,0.03,0.31,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,FW,0.14,0.22,0.22,2.09,2.73,0.36,0.14,0.14,0.65
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.67,1.33,0.33,0.0,0.0,3.33,0.33
0.0,0.0,0.0,0.0,1.0,MFFW,0.18,0.23,0.18,0.64,0.76,0.23,6.73,1.4,1.23
0.0,0.0,0.0,0.0,1.0,MFFW,0.07,0.07,0.22,1.34,2.09,0.07,2.46,0.52,1.19
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.39,2.35,0.69,0.0,0.69,1.08,1.27
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.09,0.34,1.79,0.77,0.09,4.79,0.43,1.28
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,2.27,1.36,0.0,2.73,1.82,1.36
1.0,0.0,0.0,0.0,0.0,DF,0.16,0.0,0.08,1.71,0.33,0.0,0.24,1.46,1.46
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,0.6,0.6,0.0,1.4,0.4,0.4
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,1.33,1.67,0.0,3.67,0.67,0.33
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.26,0.17,1.39,3.39,0.35,1.65,0.52,1.39
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.16,0.32,1.27,1.27,0.0,5.08,0.0,0.32
0.0,0.0,0.0,1.0,0.0,MF,0.08,0.0,0.17,1.98,0.5,0.0,0.58,1.16,1.24
1.0,0.0,0.0,0.0,0.0,DF,0.03,0.06,0.1,0.92,0.57,0.13,3.81,0.79,1.24
0.0,1.0,0.0,0.0,0.0,FW,0.0,0.57,0.0,1.13,2.08,0.19,5.28,0.38,1.51
0.0,0.0,0.0,0.0,1.0,MFFW,0.27,0.05,0.21,2.25,1.87,0.27,1.76,0.86,1.07
1.0,0.0,0.0,0.0,0.0,DF,0.16,0.0,0.16,0.99,0.16,0.05,0.0,1.59,1.04
0.0,1.0,0.0,0.0,0.0,FW,0.68,0.13,0.17,1.49,3.87,0.72,0.68,0.21,0.68
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.07,0.17,0.73,0.03,0.0,0.07,0.7,0.66
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.08,0.11,0.8,0.23,0.04,0.0,1.41,0.61
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.93,2.33,0.7,0.0,0.7,1.4,0.93
0.0,1.0,0.0,0.0,0.0,FW,0.2,0.41,1.02,2.04,4.49,1.02,1.84,0.61,0.82
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.42,1.26,0.68,0.0,0.1,1.2,0.58
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.1,0.1,1.26,0.75,0.3,3.27,0.3,0.4
0.0,1.0,0.0,0.0,0.0,FW,0.42,0.0,0.0,1.25,1.25,0.0,3.75,0.42,0.42
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.11,0.0,1.4,1.72,0.11,3.55,1.08,1.4
1.0,0.0,0.0,0.0,0.0,DF,0.09,0.18,0.37,1.47,2.02,0.09,4.5,0.83,1.83
0.0,0.0,0.0,0.0,1.0,MFFW,0.0,0.22,0.15,1.46,2.55,0.44,2.41,0.44,1.46
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,2.5,0.83,0.0,2.5,0.42,0.83
1.0,0.0,0.0,0.0,0.0,DF,0.06,0.0,0.32,1.65,0.32,0.19,0.0,0.76,0.38
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.24,0.16,1.58,0.71,0.16,6.52,1.7,1.94
0.0,0.0,0.0,1.0,0.0,MF,0.29,0.59,0.0,0.59,2.35,0.0,5.59,0.29,0.29
0.0,0.0,0.0,1.0,0.0,MF,0.06,0.0,0.51,2.23,0.89,0.0,0.13,1.34,0.76
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,1.26,1.26,0.11,0.0,1.72,0.8
0.0,1.0,0.0,0.0,0.0,FW,0.47,0.26,0.13,0.51,0.89,0.13,0.38,0.21,0.38
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.03,0.2,0.7,0.53,0.03,0.2,0.81,0.81
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.08,0.0,0.38,0.0,0.0,0.0,0.04
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.14,0.43,2.14,3.57,0.0,0.71,1.0,1.0
0.0,0.0,0.0,0.0,1.0,MFFW,0.13,0.06,0.13,1.04,1.36,0.26,3.96,0.26,0.45
0.0,0.0,0.0,1.0,0.0,MF,0.22,0.22,0.11,0.44,2.53,0.11,8.35,0.33,0.66
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,0.95,1.9,0.0,5.71,0.48,0.48
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,FW,0.45,0.09,0.13,1.03,1.97,0.54,0.22,0.13,0.4
1.0,0.0,0.0,0.0,0.0,DF,0.05,0.0,0.4,1.15,0.8,0.1,0.25,1.05,1.2
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.23,1.64,1.36,0.11,0.34,1.58,1.58
1.0,0.0,0.0,0.0,0.0,DF,0.04,0.04,0.22,0.85,0.74,0.07,0.15,0.67,0.59
0.0,0.0,0.0,1.0,0.0,MF,0.05,0.0,0.29,1.99,2.52,0.05,0.24,0.63,2.18
0.0,0.0,0.0,0.0,1.0,MFFW,0.36,0.04,0.08,1.12,0.84,0.24,5.02,0.88,1.0
0.0,0.0,0.0,1.0,0.0,MF,0.29,0.29,0.29,0.96,1.15,0.0,1.25,1.25,1.54
0.0,1.0,0.0,0.0,0.0,FW,0.0,0.08,0.34,1.01,2.02,0.5,2.18,0.59,1.09
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.22,0.0,0.17,0.0,0.0,0.06,0.0
0.0,0.0,0.0,0.0,1.0,MFFW,0.24,0.0,0.24,0.65,2.76,0.49,2.44,0.08,0.33
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.18,0.54,1.61,3.21,0.0,5.18,0.89,1.43
