Player,Nation,Pos,Squad,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,90s
Breno,br BRA,MFFW,Fortaleza,1996,32,29,2280,6,3,0,0,5,0,0,13,53,20,107,6,9,0,25.3
Bruno Ferreira,br BRA,GK,Ceará,1994,31,31,2763,0,0,0,0,2,0,0,1,8,0,0,0,1,0,30.7
Bruno Fuchs,br BRA,DF,Palmeiras,1999,27,18,1723,2,1,0,0,5,0,0,26,17,0,17,28,28,0,19.1
Bruno Gomes,br BRA,MFDF,Internacional,2001,14,11,981,0,2,0,0,2,0,0,18,14,0,19,7,13,0,10.9
Bruno Henrique,br BRA,FWMF,Flamengo,1990,32,20,1811,8,0,1,1,7,0,0,43,38,15,15,4,14,0,20.1
Bruno Henrique,br BRA,MF,Internacional,1989,29,19,1397,2,0,0,0,3,1,1,38,15,0,21,12,25,0,15.5
Bruno Nascimento,br BRA,FW,Palmeiras,1997,10,4,341,2,0,0,0,0,0,0,4,9,3,1,0,0,0,3.8
Bruno Pacheco,br BRA,DF,Fortaleza,1991,15,15,1261,1,1,0,0,5,0,0,16,27,1,16,12,20,1,14.0
Bruno Praxedes,br BRA,MF,RB Bragantino,2002,15,3,400,0,0,0,0,3,0,0,10,14,0,15,3,4,0,4.4
Bruno Tabata,br BRA,MFFW,Internacional,1997,24,12,1073,3,0,1,1,4,1,0,21,21,2,72,8,14,0,11.9
Cacá,br BRA,DF,Corinthians,1999,18,16,1408,2,0,0,0,4,0,0,20,17,0,1,9,21,0,15.6
Caio Alexandre,br BRA,MF,Bahia,1999,21,17,1303,0,1,0,0,4,0,0,32,30,0,14,12,18,0,14.5
Caio Paulista,br BRA,MFDF,Atlético Mineiro,1998,20,10,885,0,0,0,0,2,0,0,13,7,1,23,10,9,0,9.8
Calebe,br BRA,MF,Fortaleza,2000,7,2,229,1,0,0,0,2,0,0,2,5,1,8,2,2,0,2.5
