Player,Nation,Pos,Squad,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,90s
Gil,br BRA,DF,Santos,1987,8,8,720,0,0,0,0,3,0,0,8,1,0,0,7,9,0,8.0
Gilberto,br BRA,DF,Bahia,1993,23,21,1777,1,0,0,0,6,0,0,19,11,1,38,20,33,0,19.7
Gilberto,br BRA,FW,Juventude,1989,23,15,1099,2,2,0,1,5,0,0,27,15,4,4,4,7,0,12.2
Giorgian de Arrascaeta,uy URU,MF,Flamengo,1994,33,30,2350,18,14,2,3,3,0,0,13,54,2,144,6,17,0,26.1
Giovanny,br BRA,FWMF,Juventude,1997,19,5,653,0,2,0,0,3,0,0,7,15,4,11,1,5,0,7.3
Gonzalo Escobar,ar ARG,DF,Santos,1997,30,23,2008,0,0,0,0,8,1,1,36,20,1,64,36,56,0,22.3
Gonzalo Mastriani,uy URU,FW,Botafogo–RJ,1993,12,3,288,1,0,0,0,1,0,0,8,3,3,0,2,1,0,3.2
Gonzalo Plata,ec ECU,MFFW,Flamengo,2000,28,14,1350,4,1,0,0,0,1,0,21,15,2,17,4,17,0,15.0
Gonzalo Tapia,cl CHI,FW,São Paulo,2002,20,12,1117,5,0,0,0,4,0,0,25,41,5,25,4,6,0,12.4
Gonçalo Paciência,pt POR,FW,Sport Recife,1994,6,3,196,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2.2
Gregore,br BRA,MF,Botafogo–RJ,1994,12,11,982,0,0,0,0,3,0,0,45,8,0,7,13,29,0,10.9
Guga,br BRA,DFMF,Fluminense,1998,17,11,992,1,1,0,0,1,0,0,6,12,0,20,10,19,0,11.0
Gui Negão,br BRA,FWMF,Corinthians,2007,22,12,945,3,1,0,0,3,0,0,27,23,2,6,5,4,0,10.5
Guilherme,br BRA,MF,Santos,1995,32,27,2250,4,7,0,0,1,0,0,15,61,13,85,23,22,0,25.0
Guilherme,br BRA,MFFW,Mirassol,1991,12,6,539,2,0,0,0,2,0,0,12,11,0,9,3,7,0,6.0
Guilherme Arana,br BRA,DFMF,Atlético Mineiro,1997,25,20,1748,1,1,0,0,7,0,0,20,17,2,67,19,18,0,19.4
Guilherme Lopes,br BRA,DF,RB Bragantino,2002,11,7,640,1,1,0,0,2,0,0,7,4,0,26,3,9,1,7.1
Guilherme Tinga,br BRA,DF,Fortaleza,1993,11,8,752,1,0,0,0,1,0,0,6,4,0,20,12,5,0,8.4
Guillermo Varela,uy URU,DF,Flamengo,1993,20,14,1325,0,4,0,0,1,0,0,9,12,2,31,10,15,0,14.7
Gustavinho,br BRA,MF,RB Bragantino,2004,17,8,741,0,0,0,0,2,0,0,12,2,1,31,4,11,0,8.2
Gustavo,br BRA,GK,Juventude,1993,10,10,855,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9.5
Gustavo Caballero,py PAR,MF,Santos,2001,12,1,332,1,1,0,0,1,0,0,8,11,2,16,7,7,1,3.7
Gustavo Cuellar,co COL,MF,Grêmio,1992,17,10,881,0,0,0,0,3,0,0,17,14,0,3,15,23,0,9.8
Gustavo Gómez,py PAR,DF,Palmeiras,1993,27,26,2310,2,1,0,0,7,0,0,33,15,11,20,35,32,0,25.7
Gustavo Henrique,br BRA,DF,Corinthians,1993,23,23,2070,3,0,0,0,5,0,0,22,8,2,1,19,23,0,23.0
Gustavo Mancha,br BRA,DF,Fortaleza,2004,13,13,1029,0,0,0,0,2,1,0,5,8,0,1,13,12,0,11.4
Gustavo Marques,br BRA,DF,RB Bragantino,2001,14,9,900,1,0,0,0,2,0,0,13,9,0,1,15,13,0,10.0
Gustavo Martins Santos,br BRA,DF,Grêmio,2002,19,15,1320,2,0,0,0,4,0,0,22,2,1,2,12,18,0,14.7
Gustavo Prado,br BRA,MF,Internacional,2005,18,3,559,1,0,0,0,2,0,0,6,14,2,15,0,7,0,6.2
Gustavo Scarpa,br BRA,MF,Atlético Mineiro,1994,36,25,2302,1,3,0,0,3,0,0,20,43,3,173,15,10,0,25.6
Gustavo Silva,br BRA,MFFW,Vitória,1997,10,6,480,0,2,0,0,0,0,0,9,4,3,21,3,1,0,5.3
Guzmán Rodríguez,uy URU,DF,RB Bragantino,2000,23,23,2051,1,0,0,0,5,0,0,20,12,1,4,17,15,0,22.8
Helton Leite,br BRA,GK,Fortaleza,1990,4,4,360,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0
Henry Mosquera,co COL,MF,RB Bragantino,2001,17,8,771,0,0,0,0,0,0,0,13,8,3,25,4,7,0,8.6
Hudson,br BRA,MF,Juventude,2001,4,3,233,0,0,0,0,2,1,0,6,0,0,1,3,1,0,2.6
Hugo,br BRA,MFDF,Corinthians,1997,10,6,457,0,0,0,0,1,0,0,7,9,2,9,7,6,0,5.1
Hugo Moura,br BRA,MFDF,Vasco da Gama,1998,33,28,2411,0,1,0,0,6,2,0,46,14,0,8,28,31,1,26.8
Hugo Souza,br BRA,GK,Corinthians,1999,26,26,2340,0,0,0,0,3,0,0,0,2,0,0,0,0,0,26.0
Hulk,br BRA,FWMF,Atlético Mineiro,1986,33,27,2438,8,6,1,1,9,0,0,40,66,10,89,1,8,0,27.1
Hyoran,br BRA,MFFW,Sport Recife,1993,12,4,402,0,1,0,0,2,0,0,15,7,1,30,1,4,0,4.5
Héctor,es ESP,FWMF,Corinthians,1995,9,3,246,1,0,0,0,0,0,0,4,3,2,0,2,2,0,2.7
Hércules,br BRA,MF,Fluminense,2000,34,26,2160,3,1,0,0,1,0,0,37,18,1,14,13,31,0,24.0
Iago,br BRA,DFMF,Bahia,1997,15,7,626,1,0,0,0,2,0,0,9,3,1,19,4,11,0,7.0
Ignacio Laquintana,uy URU,MF,RB Bragantino,1999,23,13,1017,4,3,0,0,1,0,0,8,9,9,42,10,8,0,11.3
Ignácio,br BRA,DF,Fluminense,1996,19,13,1147,0,0,0,0,2,1,0,24,17,0,0,14,15,0,12.7
Igor Cariús,br BRA,DFMF,Sport Recife,1993,28,21,1726,1,0,0,0,3,0,0,28,29,7,35,27,30,1,19.2
Igor Coronado,br BRA,MF,Corinthians,1992,6,3,342,1,0,0,0,1,0,0,7,5,0,28,4,1,0,3.8
Igor Gomes,br BRA,MF,Atlético Mineiro,1999,34,21,1824,4,3,0,0,3,1,0,21,24,1,29,16,10,0,20.3
Igor Jesus,br BRA,FWMF,Botafogo–RJ,2001,10,10,875,3,1,0,0,0,0,0,9,26,1,4,0,2,0,9.7
Igor Marques,br BRA,MFDF,Juventude,1999,19,15,1424,2,2,0,0,1,1,0,25,14,1,64,31,32,0,15.8
Igor Rabello,br BRA,DF,Fluminense / Atlético Mineiro,1995,8,4,333,0,0,0,0,2,1,1,9,0,0,0,5,3,0,3.7
Igor Serrote,br BRA,DF,Grêmio,2005,7,6,512,0,0,0,0,2,0,0,7,10,0,7,14,17,0,5.7
Igor Vinícius de Souza,br BRA,DF,Santos,1997,20,15,1302,0,2,0,0,4,0,0,26,19,0,50,15,29,0,14.5
Isidro Pitta,py PAR,FW,RB Bragantino,1999,24,10,1093,7,2,0,0,6,0,0,21,14,13,11,0,3,0,12.1
Iury de Castilho,br BRA,FWMF,Mirassol,1995,9,6,499,1,0,0,0,2,0,0,7,18,6,4,2,6,0,5.5
Ivan,br BRA,GK,Internacional,1997,7,7,585,0,0,0,0,2,0,0,0,1,0,0,0,0,0,6.5
Iván Román,cl CHI,DF,Atlético Mineiro,2006,12,8,701,0,0,0,0,4,0,0,8,9,2,1,10,6,0,7.8
Jadson,br BRA,MF,Juventude,1993,35,32,2831,0,2,0,0,9,0,0,46,52,2,24,37,24,0,31.5
Jair,br BRA,MF,Vasco da Gama,1994,11,7,559,0,0,0,0,3,0,0,13,11,0,3,9,9,0,6.2
Jair Cunha,br BRA,DF,Botafogo–RJ,2005,11,11,990,0,1,0,0,0,0,0,4,8,0,2,9,12,0,11.0
Jamerson,br BRA,DF,Vitória,1998,12,12,1026,0,2,0,0,0,0,0,10,7,0,66,13,19,0,11.4
Janderson,br BRA,FWMF,Vitória,1999,11,9,729,1,0,0,0,3,0,0,16,6,4,5,2,5,0,8.1
Jandrei,br BRA,GK,Juventude,1993,19,19,1710,0,0,0,0,4,0,0,0,3,0,0,0,0,0,19.0
Jean Carlos Vicente,br BRA,MF,Juventude,1992,7,2,203,0,0,0,0,1,0,0,3,2,3,16,0,3,0,2.3
Jean Lucas,br BRA,MF,Bahia,1998,34,33,2674,3,1,0,0,3,2,0,43,29,2,26,13,41,0,29.7
Jefferson Savarino,ve VEN,MF,Botafogo–RJ,1996,27,24,1917,4,3,0,0,2,0,0,10,18,10,95,2,9,0,21.3
Jeffinho,br BRA,MF,Botafogo–RJ,1999,17,9,685,2,4,0,0,0,1,0,13,9,1,12,7,9,0,7.6
Jefté,br BRA,MFDF,Palmeiras,2003,12,7,765,0,3,0,0,0,0,0,8,3,2,18,7,9,0,8.5
Jemerson,br BRA,DF,Grêmio,1992,9,8,770,1,0,0,0,3,0,0,14,3,0,0,12,12,0,8.6
Jemmes,br BRA,DF,Mirassol,2000,37,37,3273,2,0,0,0,3,0,0,34,12,2,1,42,46,0,36.4
Jhon Arias,co COL,MFFW,Fluminense,1997,12,12,1079,1,4,1,1,1,0,0,14,33,1,74,4,10,0,12.0
Jhon Jhon,br BRA,MF,RB Bragantino,2002,34,34,2844,10,7,3,3,11,0,0,44,64,2,177,15,24,0,31.6
Joaquín Correa,ar ARG,MFFW,Botafogo–RJ,1994,18,10,898,2,0,0,0,2,0,0,13,21,2,18,2,6,0,10.0
Joaquín Piquerez,uy URU,DFMF,Palmeiras,1998,30,28,2456,3,1,2,3,2,2,0,12,18,0,125,26,32,1,27.3
Johan Carbonero,co COL,MFFW,Internacional,1999,23,15,1457,5,2,1,1,6,1,0,32,60,14,22,2,8,0,16.2
John,br BRA,GK,Botafogo–RJ,1996,17,17,1530,0,0,0,0,2,0,0,1,3,0,0,1,1,0,17.0
John Kennedy,br BRA,FW,Fluminense,2002,17,6,626,2,1,1,1,1,0,0,9,13,4,3,2,1,0,7.0
Jonathan,br BRA,DF,Cruzeiro,2004,13,10,798,0,1,0,0,1,1,0,17,3,1,2,10,10,0,8.9
Jordan Barrera,co COL,MF,Botafogo–RJ,2006,6,2,307,1,0,0,0,1,0,0,3,8,0,9,0,2,0,3.4
Jorge Carrascal,co COL,MF,Flamengo,1998,16,11,821,2,5,0,0,4,0,0,21,20,0,44,5,17,0,9.1
Jorginho,it ITA,MF,Flamengo,1991,18,15,1357,3,1,3,3,5,0,0,22,11,0,9,19,14,0,15.1
José Aldo,br BRA,MF,Mirassol,1998,30,15,1369,0,1,0,0,6,0,0,32,16,1,8,25,26,0,15.2
José Andrés Martínez,ve VEN,MF,Corinthians,1994,24,17,1396,1,1,0,0,11,2,1,21,28,1,37,14,19,0,15.5
José Herrera,ar ARG,MF,Fortaleza,2003,19,14,1046,2,3,0,0,3,0,0,24,11,0,26,5,20,0,11.6
José Hurtado,ec ECU,DF,RB Bragantino,2001,28,21,1864,1,0,0,0,2,1,0,28,9,0,59,21,27,0,20.7
José Luis Rodríguez,uy URU,DF,Vasco da Gama,1997,25,15,1446,2,2,0,0,0,0,0,10,8,0,65,12,11,0,16.1
José Sabino,br BRA,DF,São Paulo,1996,30,25,2299,2,0,0,0,3,0,0,35,16,0,8,47,25,0,25.5
José Welison,br BRA,MF,Fortaleza,1995,9,4,437,0,0,0,0,3,0,0,7,5,0,8,5,9,0,4.9
João Lucas,br BRA,DF,Grêmio,1998,10,5,506,0,0,0,0,1,0,0,11,8,0,15,8,11,0,5.6
João Marcelo,br BRA,DF,Cruzeiro,2000,4,2,226,0,0,0,0,0,0,0,3,1,0,0,7,4,0,2.5
João Othavio Basso,br BRA,DF,Santos,1997,6,6,518,1,0,0,0,2,0,0,10,6,0,0,5,4,0,5.8
João Pedro,br BRA,DF,Grêmio,1996,7,6,454,0,0,0,0,0,0,0,8,1,1,8,3,7,0,5.0
João Pedro,br BRA,DF,Corinthians,2003,16,13,1242,0,1,0,0,4,0,0,18,5,0,1,12,15,0,13.8
João Pedro Chermont,br BRA,DF,Santos,2006,5,2,249,0,0,0,0,3,0,0,9,1,2,12,3,8,0,2.8
João Pedro Pepê,br BRA,MF,Vitória,1998,14,6,654,0,0,0,0,3,1,0,22,19,0,11,9,16,0,7.3
João Ricardo Riedi,br BRA,GK,Fortaleza,1988,14,14,1260,0,0,0,0,1,0,0,1,2,0,0,0,0,1,14.0
João Schmidt,br BRA,MF,Santos,1993,31,25,2153,2,2,0,0,7,0,0,45,13,0,3,33,27,0,23.9
João Silva,pt POR,DF,Sport Recife,1999,14,10,990,0,0,0,0,1,0,0,11,3,0,2,8,7,0,11.0
João Victor,br BRA,DF,Mirassol,1997,34,34,3059,2,1,0,0,8,1,0,28,22,2,0,33,19,0,34.0
João Victor,br BRA,DF,Vasco da Gama,1998,16,16,1435,1,0,0,0,3,0,0,11,11,0,4,10,25,1,15.9
João Victor,br BRA,DF,Flamengo,2007,4,3,194,0,0,0,0,1,0,0,3,1,0,0,2,1,0,2.2
Juan Freytes,ar ARG,DF,Fluminense,2000,33,33,2924,0,0,0,0,8,1,0,22,18,3,8,19,17,0,32.5
Juan Ignacio Dinenno,ar ARG,FW,Cruzeiro / São Paulo,1994,8,3,274,1,0,0,0,2,0,0,6,3,0,1,0,1,0,3.0
Juan Ignacio Ramírez,uy URU,FW,Sport Recife,1997,8,3,291,0,0,0,0,1,0,0,7,2,1,0,0,1,0,3.2
Juan Martín Lucero,ar ARG,FW,Fortaleza,1991,27,16,1409,3,1,0,1,6,0,0,42,17,9,4,2,6,0,15.7
Juan Sforza,ar ARG,MF,Juventude / Vasco da Gama,2002,10,3,343,0,0,0,0,0,0,0,5,4,0,1,3,5,0,3.8
Juninho,br BRA,DF,Internacional,1995,20,18,1505,0,0,0,0,6,0,0,14,11,0,1,23,14,0,16.7
Juninho,br BRA,FW,Flamengo,1996,15,2,378,1,0,0,0,0,0,0,8,4,4,0,1,5,0,4.2
Juninho Capixaba,br BRA,DFMF,RB Bragantino,1997,24,22,1972,1,1,0,0,4,0,0,33,41,3,53,21,34,0,21.9
Júnior Alonso,py PAR,DF,Atlético Mineiro,1993,31,31,2610,1,1,0,0,6,2,0,23,11,0,12,30,21,1,29.0
Júnior Santos,br BRA,FW,Atlético Mineiro,1994,16,1,361,2,0,0,0,1,0,0,9,14,3,2,0,4,0,4.0
Kaiki Bruno,br BRA,DF,Cruzeiro,2003,34,34,2993,1,5,0,0,10,0,0,64,32,1,87,44,70,0,33.3
Kaio Jorge,br BRA,FW,Cruzeiro,2002,33,33,2588,21,8,1,2,4,1,0,37,47,7,17,6,10,0,28.8
Kaio Pantaleão,br BRA,DF,Botafogo–RJ,1995,11,11,933,0,0,0,0,2,1,1,12,10,1,1,17,8,0,10.4
Kanu,br BRA,DF,Bahia,1997,7,7,513,0,0,0,0,0,1,0,4,6,0,0,7,6,0,5.7
Kauã Moraes,br BRA,DF,Cruzeiro,2006,5,2,197,0,0,0,0,0,0,0,5,6,0,15,4,3,0,2.2
Kauã Prates,br BRA,DF,Cruzeiro,2008,8,4,341,0,0,0,0,1,0,0,5,1,1,10,3,9,0,3.8
Kayke,br BRA,MFFW,Corinthians,2004,8,4,358,0,1,0,0,0,0,0,5,4,2,11,2,1,0,4.0
Kayky Chagas,br BRA,MF,Bahia,2003,26,8,890,1,2,0,0,2,0,0,7,13,2,11,5,12,0,9.9
Keno,br BRA,MF,Fluminense,1989,18,4,509,1,2,0,0,1,0,0,6,21,0,11,0,7,0,5.7
Keny Arroyo,ec ECU,MF,Cruzeiro,2006,13,7,646,2,1,0,0,4,0,0,6,18,0,15,5,4,0,7.2
Kevin Serna,co COL,MF,Fluminense,1997,33,25,2086,7,5,0,0,3,0,0,24,30,5,65,16,29,0,23.2
Kevyson,br BRA,DF,Sport Recife,2004,9,1,268,0,0,0,0,3,0,0,8,1,0,11,5,6,0,3.0
Khellven,br BRA,DFMF,Palmeiras,2001,13,12,975,0,2,0,0,1,0,0,26,9,0,29,11,10,0,10.8
Lautaro Díaz,ar ARG,FW,Santos / Cruzeiro,1998,21,12,1105,3,2,0,0,2,0,0,17,9,5,9,3,2,0,12.3
Lenny Lobato,br BRA,MFFW,Sport Recife,2001,7,2,244,0,0,0,0,0,0,0,3,2,1,7,1,1,0,2.7
Leo Augusto Pereira,br BRA,MFFW,Sport Recife,2000,16,13,1108,3,1,0,0,0,0,0,17,28,9,35,4,10,0,12.3
Leo Ortiz,br BRA,DF,Flamengo,1996,26,26,2203,1,2,0,0,4,0,0,19,5,1,5,18,20,0,24.5
Leonardo Godoy,ar ARG,DF,Santos,1995,6,5,416,0,0,0,0,1,0,0,8,5,0,8,0,4,0,4.6
Leonardo Linck,br BRA,GK,Botafogo–RJ,2001,17,16,1486,0,0,0,0,1,0,0,0,2,0,0,0,0,0,16.5
Lima,br BRA,MF,Fluminense,1996,28,12,1094,2,1,0,0,3,0,0,20,31,1,13,10,9,0,12.2
Loide Augusto,ao ANG,MF,Vasco da Gama,2000,10,2,192,0,0,0,0,1,0,0,9,4,0,8,1,2,0,2.1
Lourenço,br BRA,MF,Ceará,1997,33,15,1386,2,1,0,1,4,0,0,30,21,1,45,19,13,0,15.4
Luan Cândido,br BRA,DF,Sport Recife,2001,16,15,1318,1,0,0,0,2,0,0,20,7,2,12,16,9,1,14.6
Luan Freitas,br BRA,DF,Juventude,2001,14,12,1124,0,1,0,0,0,0,0,13,3,0,0,9,21,0,12.5
Luan Peres Petroni,br BRA,DF,Santos,1994,24,23,2051,0,0,0,0,6,0,0,29,14,1,7,23,16,0,22.8
Lucas Arcanjo,br BRA,GK,Vitória,1998,29,29,2545,0,0,0,0,3,0,0,0,3,0,0,0,0,0,28.3
Lucas Barbosa,br BRA,MF,RB Bragantino,2001,34,31,2330,4,3,0,0,10,1,1,67,41,8,51,19,28,0,25.9
Lucas Braga,br BRA,MFDF,Vitória,1996,21,11,968,1,0,0,0,1,0,0,13,25,3,15,6,15,0,10.8
Lucas Crispim,br BRA,MF,Fortaleza,1994,10,5,424,1,1,0,0,0,0,0,8,15,1,17,2,0,0,4.7
Lucas Cunha,br BRA,DF,Sport Recife,1997,6,5,428,0,0,0,0,1,0,0,5,2,0,0,6,2,0,4.8
Lucas Esteves,br BRA,DFMF,Grêmio,2000,10,8,671,0,0,0,0,1,0,0,9,3,0,25,10,9,0,7.5
Lucas Evangelista,br BRA,MF,Palmeiras,1995,19,12,1046,2,1,0,0,2,0,0,19,20,0,10,6,19,0,11.6
Lucas Fernandes,br BRA,MF,Juventude,1997,7,4,397,0,0,0,0,0,0,0,5,5,1,8,4,3,0,4.4
Lucas Ferreira,br BRA,MF,São Paulo,2006,13,8,761,0,0,0,0,1,0,0,11,19,0,28,6,12,0,8.5
Lucas Freitas,br BRA,DF,Vasco da Gama,2001,21,19,1552,1,0,0,0,4,0,0,18,12,0,6,21,9,0,17.2
Lucas Gazal,br BRA,DF,Fortaleza,1999,7,6,546,0,1,0,0,2,0,0,9,1,0,3,7,4,0,6.1
Lucas Halter,br BRA,DF,Vitória,2000,33,33,2904,4,1,0,0,8,1,1,24,9,1,2,18,30,0,32.3
Lucas Kal,br BRA,MFDF,Sport Recife,1996,13,11,861,0,0,0,0,1,0,0,11,2,0,4,10,5,1,9.6
Lucas Lima,br BRA,MF,Sport Recife,1990,33,30,2550,3,7,1,1,11,0,0,30,50,10,204,6,24,0,28.3
Lucas Moura,br BRA,FWMF,São Paulo,1992,11,4,451,2,0,1,1,0,0,0,6,14,1,2,3,2,0,5.0
Lucas Mugni,ar ARG,MF,Ceará,1992,33,22,1714,2,6,0,0,5,0,0,30,18,3,137,8,40,0,19.0
Lucas Oliveira,br BRA,DF,Vasco da Gama,1996,8,2,259,0,0,0,0,1,0,0,3,1,0,0,11,4,0,2.9
Lucas Piton,br BRA,DF,Vasco da Gama,2000,30,29,2545,1,7,0,0,5,0,0,46,12,3,139,32,24,0,28.3
Lucas Ramon,br BRA,DF,Mirassol,1994,31,30,2604,2,3,0,0,7,0,0,29,54,5,108,54,44,0,28.9
Lucas Romero,ar ARG,MF,Cruzeiro,1994,33,32,2832,1,3,0,0,12,0,0,38,50,1,19,35,39,0,31.5
Lucas Sasha,br BRA,MF,Fortaleza,1990,31,31,2612,1,0,0,0,4,0,0,54,25,0,16,61,76,0,29.0
Lucas Silva,br BRA,MF,Cruzeiro,1993,34,32,2751,2,2,0,0,8,0,0,56,24,0,3,14,27,0,30.6
Lucas Villalba,ar ARG,DF,Cruzeiro,1994,32,32,2864,1,0,0,0,10,0,0,28,22,1,19,47,20,0,31.8
Lucca Marques,br BRA,MF,São Paulo,2007,8,2,318,0,0,0,0,1,0,0,9,12,1,10,0,4,0,3.5
Lucca Prior,br BRA,MFFW,Fortaleza,2004,12,7,656,2,0,0,0,2,0,0,15,15,1,42,3,6,0,7.3
Luciano,br BRA,FWMF,São Paulo,1993,32,24,2105,9,4,1,2,10,0,0,32,43,6,8,11,16,0,23.4
Luciano Acosta,ar ARG,MF,Fluminense,1994,16,15,1199,3,2,0,0,5,0,0,27,25,2,37,0,15,0,13.3
Luciano Juba,br BRA,DF,Bahia,1999,35,33,2877,6,4,0,0,2,0,0,22,17,1,134,39,29,1,32.0
Luciano Rodríguez,uy URU,FW,Bahia,2003,18,8,791,2,0,0,0,1,0,0,13,13,3,2,2,7,0,8.8
Lucão,br BRA,GK,RB Bragantino,2001,4,4,360,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0
Luighi,br BRA,MFFW,Palmeiras,2006,11,2,339,1,0,0,0,1,0,0,10,9,2,4,1,3,0,3.8
Luis Benedetti,br BRA,DF,Palmeiras,2006,5,4,377,1,0,0,0,0,0,0,3,2,0,1,7,2,0,4.2
Luis Mandaca,br BRA,MFFW,Juventude,2001,32,29,2445,2,1,0,0,7,1,1,61,49,4,23,23,37,0,27.2
Luis Otávio,br BRA,MF,Internacional,2007,20,7,770,0,0,0,0,2,0,0,7,17,1,0,11,21,0,8.6
Luis Sinisterra,co COL,MF,Cruzeiro,1999,11,2,326,2,1,0,0,0,0,0,5,8,0,1,3,3,0,3.6
Luisão,br BRA,DF,Santos,2003,6,5,438,0,0,0,0,2,0,0,3,4,0,2,3,3,0,4.9
Luiz Araújo,br BRA,MF,Flamengo,1996,35,15,1765,7,3,0,0,2,0,0,32,24,1,105,8,35,0,19.6
Luiz Gustavo,br BRA,DF,Vasco da Gama,2006,5,3,288,0,0,0,0,3,0,0,4,2,0,1,3,2,0,3.2
Luiz Gustavo,br BRA,MFDF,São Paulo,1987,12,9,780,1,0,0,0,0,0,0,17,12,0,4,12,14,0,8.7
Lyanco,br BRA,DF,Atlético Mineiro,1997,17,17,1410,0,0,0,0,10,2,2,29,21,2,1,32,19,0,15.7
Léo Aragão,br BRA,GK,Cruzeiro,2002,4,3,334,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3.7
Léo Jardim,br BRA,GK,Vasco da Gama,1995,36,36,3235,0,0,0,0,2,1,1,0,9,0,0,0,1,1,35.9
Léo Mana,br BRA,DF,Corinthians,2004,4,3,225,0,0,0,0,0,0,0,1,0,1,3,3,2,0,2.5
Léo Pereira,br BRA,DF,Flamengo,1996,34,33,2953,4,0,0,0,6,0,0,22,13,0,14,27,17,0,32.8
Magrão,br BRA,GK,Fortaleza,2000,3,3,270,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3.0
Maik,br BRA,MFDF,São Paulo,2005,9,8,607,2,2,0,0,3,0,0,10,7,0,22,9,16,0,6.7
Mailton,br BRA,MF,São Paulo,1998,8,3,388,0,0,0,0,1,0,0,9,10,0,33,4,2,0,4.3
Manoel,br BRA,DF,Fluminense,1990,5,4,345,0,0,0,0,0,0,0,1,2,0,0,1,0,0,3.8
Marcelo Hermes,br BRA,DFMF,Juventude,1995,22,20,1858,2,5,0,0,3,0,0,21,13,1,142,16,25,0,20.6
Marcelo Lomba,br BRA,GK,Palmeiras,1986,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Marcos Antônio,br BRA,MF,São Paulo,2000,28,23,1896,0,4,0,0,4,0,0,29,27,2,9,8,8,0,21.1
Marcos Felipe,br BRA,GK,Bahia,1996,11,10,972,0,0,0,0,0,0,0,1,3,0,0,1,0,0,10.8
Marcos Paulo,br BRA,DF,Juventude,2003,19,16,1367,0,0,0,0,8,1,1,27,5,1,0,11,16,1,15.2
Marcos Rocha,br BRA,DF,Palmeiras / Grêmio,1988,13,13,1049,0,0,0,0,1,0,0,9,16,1,35,21,29,0,11.7
Marcos Victor,br BRA,DF,Ceará,2001,15,15,1343,0,1,0,0,0,0,0,7,7,1,4,11,16,0,14.9
Marcão,br BRA,GK,Juventude,1992,6,5,495,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.5
Marinho,br BRA,FWMF,Fortaleza,1990,17,8,710,1,2,0,0,3,1,0,25,25,11,33,6,7,0,7.9
Marllon Borges,br BRA,DF,Ceará,1992,25,23,2083,2,0,0,0,3,0,0,18,13,0,2,15,11,0,23.1
Marlon,br BRA,DF,Cruzeiro / Grêmio,1997,32,31,2771,1,2,0,0,8,0,0,38,42,1,156,41,49,0,30.8
Marlon Freitas,br BRA,MF,Botafogo–RJ,1995,35,33,2924,1,4,0,0,8,0,0,41,9,0,15,23,28,0,32.5
Marquinhos,br BRA,MF,Cruzeiro,2003,17,2,384,0,0,0,0,1,0,0,4,8,0,20,8,6,0,4.3
Martin Braithwaite,dk DEN,FW,Grêmio,1991,18,18,1456,6,1,4,4,3,0,0,23,27,2,3,4,5,0,16.2
Martinelli,br BRA,MF,Fluminense,2001,33,32,2721,3,2,0,0,6,0,0,58,38,1,5,20,30,0,30.2
Mateo Ponte,uy URU,DF,Botafogo–RJ,2003,21,4,676,2,0,0,0,3,0,0,13,7,2,30,13,12,0,7.5
Mateo Sanabria,ar ARG,MF,Bahia,2004,10,7,569,1,0,0,0,3,1,1,9,21,3,24,0,4,0,6.3
Mateus Cocão,br BRA,MF,Vasco da Gama,2002,19,5,593,0,0,0,0,1,0,0,15,5,0,1,11,9,0,6.6
Matheus Alexandre,br BRA,DF,Sport Recife,1999,26,20,1779,0,1,0,0,9,1,1,29,14,0,48,37,30,0,19.8
Matheus Alves,br BRA,MF,São Paulo,2005,8,4,371,0,1,0,0,3,0,0,9,6,1,4,3,4,0,4.1
Matheus Araújo,br BRA,MF,Ceará,2002,11,2,270,1,1,0,0,0,0,0,3,3,0,10,0,1,0,3.0
Matheus Babi,br BRA,FW,Juventude,1997,20,2,478,2,0,0,0,4,0,0,17,16,6,0,1,4,0,5.3
Matheus Bahia,br BRA,DF,Ceará,1999,28,28,2462,0,1,0,0,6,0,0,25,30,0,91,25,32,0,27.4
Matheus Bidu,br BRA,DFMF,Corinthians,1999,26,23,1965,0,2,0,0,7,0,0,22,66,7,73,23,28,0,21.8
Matheus Donelli,br BRA,GK,Corinthians,2002,5,5,450,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.0
Matheus Fernandes,br BRA,MF,RB Bragantino,1998,20,5,661,1,0,0,0,3,0,0,19,4,0,3,12,14,0,7.3
Matheus França,br BRA,MFFW,Vasco da Gama,2004,15,2,386,0,0,0,0,1,0,0,8,3,0,12,5,5,0,4.3
Matheus Henrique,br BRA,MF,Cruzeiro,1997,17,8,723,0,0,0,0,3,0,0,13,13,0,5,6,14,0,8.0
Matheus Martins,br BRA,MF,Botafogo–RJ,2003,15,6,654,1,0,0,0,3,0,0,11,15,0,15,4,11,0,7.3
Matheus Pereira,br BRA,MF,Cruzeiro,1996,34,32,2793,7,7,0,0,7,0,0,35,111,7,175,14,32,0,31.0
