Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
52,Renato Augusto,br BRA,MF,Fluminense,36,1988,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,83a6367a
53,Gastón Ávila,ar ARG,DF,Fortaleza,23,2001,27,25,2321,25.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,f648b2e1
54,Aylon,br BRA,MFFW,Ceará,32,1992,23,8,792,8.8,2,0,2,2,0,0,3,0,0.23,0.00,0.23,0.23,0.23,Matches,a87daabb
55,Matheus Babi,br BRA,FW,Juventude,27,1997,20,2,478,5.3,2,0,2,2,0,0,4,0,0.38,0.00,0.38,0.38,0.38,Matches,f48cff2c
56,Bahia,br BRA,MF,Corinthians,19,2006,2,1,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a4b1b158
57,Gabriel Bahia,br BRA,DF,Botafogo–RJ,26,1998,4,3,236,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af54b2db
58,Matheus Bahia,br BRA,DF,Ceará,25,1999,28,28,2462,27.4,0,1,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches,33e3c4e5
59,Fabián Balbuena,py PAR,DF,Grêmio,33,1991,3,3,225,2.5,1,0,1,1,0,0,0,0,0.40,0.00,0.40,0.40,0.40,Matches,3626f7d9
60,Gabriel Baralhas,br BRA,MF,Vitória,26,1998,28,26,2276,25.3,2,1,3,2,0,0,10,0,0.08,0.04,0.12,0.08,0.12,Matches,b7838aad
61,Danilo Barbosa,br BRA,DFMF,Botafogo–RJ,28,1996,3,0,39,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0557ff4f
62,Diogo Barbosa,br BRA,DF,Fortaleza,32,1992,19,13,1239,13.8,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches,7b9ef26b
63,Gabriel Barbosa,br BRA,FWMF,Cruzeiro,28,1996,30,9,1083,12.0,6,2,8,5,1,2,7,0,0.50,0.17,0.66,0.42,0.58,Matches,72d0e1b6
64,Lucas Barbosa,br BRA,MF,RB Bragantino,23,2001,34,31,2330,25.9,4,3,7,4,0,0,10,1,0.15,0.12,0.27,0.15,0.27,Matches,a28eac7e
65,Alexander Barboza,ar ARG,DF,Botafogo–RJ,29,1995,24,24,2147,23.9,0,0,0,0,0,0,14,0,0.00,0.00,0.00,0.00,0.00,Matches,b1805c80
66,Adam Bareiro,py PAR,FW,Fortaleza,28,1996,21,10,886,9.8,7,2,9,6,1,2,7,1,0.71,0.20,0.91,0.61,0.81,Matches,afb7f0ea
67,Chrystian Barletta,br BRA,MF,Sport Recife,23,2001,34,17,1499,16.7,2,0,2,2,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,d594cf58
68,Álvaro Barreal,ar ARG,MFFW,Santos,24,2000,34,28,2239,24.9,9,1,10,8,1,1,2,0,0.36,0.04,0.40,0.32,0.36,Matches,ffca53e1
69,Jordan Barrera,co COL,MF,Botafogo–RJ,18,2006,6,2,307,3.4,1,0,1,1,0,0,1,0,0.29,0.00,0.29,0.29,0.29,Matches,abe7a9c6
70,Kadir Barría,pa PAN,FW,Botafogo–RJ,17,2007,6,2,174,1.9,2,0,2,2,0,0,1,0,1.03,0.00,1.03,1.03,1.03,Matches,b594dfe1
71,Cauan Barros,br BRA,MF,Vasco da Gama,20,2004,17,16,1340,14.9,1,0,1,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches,6ae4627b
72,Enmerson Batalla,co COL,MFFW,Juventude,23,2001,22,17,1318,14.6,4,2,6,4,0,0,3,0,0.27,0.14,0.41,0.27,0.41,Matches,2ca7201b
73,Paulo Baya,br BRA,MFFW,Ceará,25,1999,15,4,436,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,879d5577
74,Paulo Baya,br BRA,MF,Fluminense,25,1999,4,0,38,0.4,1,1,2,1,0,0,0,0,2.37,2.37,4.74,2.37,4.74,Matches,879d5577
75,Erick Belé,br BRA,MF,Palmeiras,18,2007,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7d96f93b
76,Luis Benedetti,br BRA,DF,Palmeiras,18,2006,5,4,377,4.2,1,0,1,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,3690d4f3
77,Alan Benítez,py PAR,DFMF,Internacional,31,1994,11,5,550,6.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5c7c798b
78,Alexandro Bernabei,ar ARG,DFMF,Internacional,24,2000,30,29,2579,28.7,0,4,4,0,0,0,10,1,0.00,0.14,0.14,0.00,0.14,Matches,67b09a18
79,Facundo Bernal,uy URU,MF,Fluminense,21,2003,22,11,1037,11.5,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,ca34fa2e
80,Bernard,br BRA,MFFW,Atlético Mineiro,32,1992,30,12,1210,13.4,1,1,2,1,0,0,4,0,0.07,0.07,0.15,0.07,0.15,Matches,ab4b3e35
81,Bernardo,br BRA,DF,Juventude,19,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dcd5858f
82,Matheus Bianqui,br BRA,MF,Mirassol,27,1998,13,0,147,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9da67b35
83,Matheus Bidu,br BRA,DFMF,Corinthians,25,1999,26,23,1965,21.8,0,2,2,0,0,0,7,0,0.00,0.09,0.09,0.00,0.09,Matches,b8a72293
84,Biel,br BRA,MFFW,Atlético Mineiro,23,2001,17,6,595,6.6,1,2,3,1,0,0,1,0,0.15,0.30,0.45,0.15,0.45,Matches,1cb046cd
85,Rafael Bilu,br BRA,MFFW,Juventude,25,1999,15,10,688,7.6,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,26880429
86,Damián Bobadilla,py PAR,MF,São Paulo,23,2001,31,22,2100,23.3,4,2,6,4,0,0,6,0,0.17,0.09,0.26,0.17,0.26,Matches,ad7d6437
87,Yannick Bolasie,cd COD,FWMF,Cruzeiro,35,1989,18,0,177,2.0,0,1,1,0,0,0,1,0,0.00,0.51,0.51,0.00,0.51,Matches,715fc0fe
