Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
48,Rodrigo Atencio,ar ARG,MF,Sport Recife,22,2002,19,2,544,6.0,0,0,0,0,0,0,1,0,0,4,7,0,36,4,3,,,0
49,Loide Augusto,ao ANG,MF,Vasco da Gama,24,2000,10,2,192,2.1,0,0,0,0,0,0,1,0,0,9,4,0,8,1,2,,,0
50,Leo Augusto Pereira,br BRA,FWMF,Vitória,24,2000,6,0,166,1.8,0,0,0,0,0,0,0,0,0,5,9,1,8,1,3,,,0
51,Leo Augusto Pereira,br BRA,MFFW,Sport Recife,24,2000,16,13,1108,12.3,3,1,4,3,0,0,0,0,0,17,28,9,35,4,10,,,0
52,Renato Augusto,br BRA,MF,Fluminense,36,1988,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
53,Gastón Ávila,ar ARG,DF,Fortaleza,23,2001,27,25,2321,25.8,0,0,0,0,0,0,4,0,0,23,25,1,26,28,44,,,0
54,Aylon,br BRA,MFFW,Ceará,32,1992,23,8,792,8.8,2,0,2,2,0,0,3,0,0,24,22,2,8,1,11,,,0
55,Matheus Babi,br BRA,FW,Juventude,27,1997,20,2,478,5.3,2,0,2,2,0,0,4,0,0,17,16,6,0,1,4,,,0
56,Bahia,br BRA,MF,Corinthians,19,2006,2,1,49,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,,,0
57,Gabriel Bahia,br BRA,DF,Botafogo–RJ,26,1998,4,3,236,2.6,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,,,0
58,Matheus Bahia,br BRA,DF,Ceará,25,1999,28,28,2462,27.4,0,1,1,0,0,0,6,0,0,25,30,0,91,25,32,,,0
59,Fabián Balbuena,py PAR,DF,Grêmio,33,1991,3,3,225,2.5,1,0,1,1,0,0,0,0,0,0,3,0,1,4,1,,,0
60,Gabriel Baralhas,br BRA,MF,Vitória,26,1998,28,26,2276,25.3,2,1,3,2,0,0,10,0,0,42,29,0,11,39,34,,,0
61,Danilo Barbosa,br BRA,DFMF,Botafogo–RJ,28,1996,3,0,39,0.4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,,,0
62,Diogo Barbosa,br BRA,DF,Fortaleza,32,1992,19,13,1239,13.8,1,0,1,1,0,0,2,0,0,7,14,0,22,10,18,,,0
63,Gabriel Barbosa,br BRA,FWMF,Cruzeiro,28,1996,30,9,1083,12.0,6,2,8,5,1,2,7,0,0,9,14,13,14,0,3,,,0
64,Lucas Barbosa,br BRA,MF,RB Bragantino,23,2001,34,31,2330,25.9,4,3,7,4,0,0,10,1,1,67,41,8,51,19,28,,,0
65,Alexander Barboza,ar ARG,DF,Botafogo–RJ,29,1995,24,24,2147,23.9,0,0,0,0,0,0,14,0,0,50,3,2,3,23,39,,,0
66,Adam Bareiro,py PAR,FW,Fortaleza,28,1996,21,10,886,9.8,7,2,9,6,1,2,7,1,0,32,23,2,2,0,10,,,0
67,Chrystian Barletta,br BRA,MF,Sport Recife,23,2001,34,17,1499,16.7,2,0,2,2,0,0,2,0,0,14,35,5,54,11,7,,,0
68,Álvaro Barreal,ar ARG,MFFW,Santos,24,2000,34,28,2239,24.9,9,1,10,8,1,1,2,0,0,28,21,6,125,22,25,,,0
69,Jordan Barrera,co COL,MF,Botafogo–RJ,18,2006,6,2,307,3.4,1,0,1,1,0,0,1,0,0,3,8,0,9,0,2,,,0
70,Kadir Barría,pa PAN,FW,Botafogo–RJ,17,2007,6,2,174,1.9,2,0,2,2,0,0,1,0,0,4,4,1,0,0,4,,,0
71,Cauan Barros,br BRA,MF,Vasco da Gama,20,2004,17,16,1340,14.9,1,0,1,1,0,0,5,0,0,32,28,0,7,24,22,,,0
72,Enmerson Batalla,co COL,MFFW,Juventude,23,2001,22,17,1318,14.6,4,2,6,4,0,0,3,0,0,17,31,1,47,2,17,,,0
73,Paulo Baya,br BRA,MFFW,Ceará,25,1999,15,4,436,4.8,0,0,0,0,0,0,0,0,0,2,5,1,38,1,2,,,0
74,Paulo Baya,br BRA,MF,Fluminense,25,1999,4,0,38,0.4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,,,0
75,Erick Belé,br BRA,MF,Palmeiras,18,2007,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,,,0
76,Luis Benedetti,br BRA,DF,Palmeiras,18,2006,5,4,377,4.2,1,0,1,1,0,0,0,0,0,3,2,0,1,7,2,,,0
77,Alan Benítez,py PAR,DFMF,Internacional,31,1994,11,5,550,6.1,0,0,0,0,0,0,0,0,0,5,0,0,13,3,6,,,0
78,Alexandro Bernabei,ar ARG,DFMF,Internacional,24,2000,30,29,2579,28.7,0,4,4,0,0,0,10,1,1,62,34,3,123,34,46,,,0
79,Facundo Bernal,uy URU,MF,Fluminense,21,2003,22,11,1037,11.5,0,0,0,0,0,0,8,0,0,17,13,0,1,10,19,,,1
80,Bernard,br BRA,MFFW,Atlético Mineiro,32,1992,30,12,1210,13.4,1,1,2,1,0,0,4,0,0,25,13,2,53,7,15,,,0
81,Bernardo,br BRA,DF,Juventude,19,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,,,0
82,Matheus Bianqui,br BRA,MF,Mirassol,27,1998,13,0,147,1.6,0,0,0,0,0,0,1,0,0,7,1,0,2,0,5,,,0
