Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
373,Lucas Lima,br BRA,MF,Sport Recife,34,1990,28.3,11,0,0,30,50,10,204,6,24,,,0,Matches,49d03337
374,Lucas Lima,br BRA,MF,Ceará,24,2000,1.4,0,0,0,1,3,0,0,2,6,,,0,Matches,c4c45622
375,Leonardo Linck,br BRA,GK,Botafogo–RJ,23,2001,16.5,1,0,0,0,2,0,0,0,0,,,0,Matches,bc30a70d
376,Kauan Lindes,br BRA,MF,Botafogo–RJ,21,2003,0.3,0,0,0,1,1,0,0,0,0,,,0,Matches,a80fe10c
377,Samuel Lino,br BRA,MF,Flamengo,25,1999,15.5,1,0,0,14,19,2,49,4,16,,,0,Matches,2a295d33
378,Lenny Lobato,br BRA,MFFW,Sport Recife,23,2001,2.7,0,0,0,3,2,1,7,1,1,,,0,Matches,5c514884
379,David Loiola,br BRA,DF,Botafogo–RJ,22,2002,20.3,3,2,0,24,17,1,3,21,12,,,0,Matches,eddf365e
380,Marcelo Lomba,br BRA,GK,Palmeiras,38,1986,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches,e4835e3c
381,Felipe Longo,br BRA,GK,Corinthians,19,2005,6.0,0,0,0,0,1,0,0,0,0,,,0,Matches,e671b482
382,Guilherme Lopes,br BRA,DF,RB Bragantino,22,2002,7.1,2,0,0,7,4,0,26,3,9,,,1,Matches,54974698
383,Flaco López,ar ARG,FWMF,Palmeiras,24,2000,22.2,5,0,0,53,55,7,16,6,20,,,0,Matches,e1426a52
384,Renzo López,uy URU,FW,Vitória,30,1994,7.2,4,0,0,28,21,6,3,1,6,,,0,Matches,675cf0be
385,Lourenço,br BRA,MF,Ceará,27,1997,15.4,4,0,0,30,21,1,45,19,13,,,0,Matches,c9f9210f
386,Lucão,br BRA,GK,RB Bragantino,23,2001,4.0,1,0,0,0,0,0,0,0,0,,,0,Matches,ebb5a0df
387,Ayrton Lucas,br BRA,DF,Flamengo,27,1997,13.7,5,0,0,23,20,0,38,9,28,,,0,Matches,db90b737
388,Jean Lucas,br BRA,MF,Bahia,26,1998,29.7,3,2,0,43,29,2,26,13,41,,,0,Matches,a99138af
389,João Lucas,br BRA,DF,Grêmio,26,1998,5.6,1,0,0,11,8,0,15,8,11,,,0,Matches,289dc81e
390,Zé Lucas,br BRA,MF,Sport Recife,16,2008,17.7,4,0,0,29,24,2,6,28,28,,,0,Matches,310649fd
391,Lucca,br BRA,FW,Ceará,21,2003,0.1,0,0,0,0,1,0,0,0,1,,,0,Matches,c3604b27
392,Lucca,br BRA,FW,Internacional,21,2003,1.8,0,0,0,3,6,0,0,0,1,,,0,Matches,c3604b27
393,Luciano,br BRA,FWMF,São Paulo,31,1993,23.4,10,0,0,32,43,6,8,11,16,,,0,Matches,24ce161c
394,Lucio,br BRA,MF,Flamengo,17,2007,0.8,0,0,0,1,0,0,0,1,0,,,0,Matches,a5aa1b17
395,Luighi,br BRA,MFFW,Palmeiras,18,2006,3.8,1,0,0,10,9,2,4,1,3,,,0,Matches,f6202ded
396,José Luis Rodríguez,uy URU,DF,Vasco da Gama,27,1997,16.1,0,0,0,10,8,0,65,12,11,,,0,Matches,6f1a7f76
397,Victor Luis,br BRA,MFDF,Vasco da Gama,31,1993,3.0,0,1,0,4,5,0,11,2,1,,,1,Matches,cc68c4d3
398,Luisão,br BRA,DF,Santos,21,2003,4.9,2,0,0,3,4,0,2,3,3,,,0,Matches,fddae996
399,David Luiz,br BRA,DF,Fortaleza,37,1987,4.4,2,0,0,7,2,0,0,6,4,,,0,Matches,c0e27d1a
400,Guilherme Luiz,br BRA,FW,Ceará,19,2005,1.6,1,0,0,5,7,0,0,1,3,,,0,Matches,2260e4ac
401,Lyanco,br BRA,DF,Atlético Mineiro,27,1997,15.7,10,2,2,29,21,2,1,32,19,,,0,Matches,b5bf1770
402,Everton Maceió,br BRA,MF,Mirassol,21,2003,1.6,0,0,0,3,3,1,4,0,1,,,0,Matches,5823de33
403,Willian Machado,br BRA,DF,Ceará,28,1996,35.8,7,0,0,25,19,1,7,29,29,,,1,Matches,afb23fa3
404,Talles Magno,br BRA,MFFW,Corinthians,22,2002,10.7,2,0,0,22,37,9,3,5,17,,,0,Matches,64c98878
405,Magrão,br BRA,GK,Fortaleza,24,2000,3.0,1,0,0,2,0,0,0,0,0,,,0,Matches,4bc2a77c
406,Gustavo Maia,br BRA,FW,Sport Recife,24,2001,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches,b36fed1d
407,Pablo Maia,br BRA,MF,São Paulo,23,2002,16.3,4,0,0,30,28,0,2,4,20,,,0,Matches,3a243771
408,Thiago Maia,br BRA,MF,Internacional,27,1997,22.0,3,0,0,24,11,0,10,32,25,,,0,Matches,91e58f66
409,Maik,br BRA,MFDF,São Paulo,20,2005,6.7,3,0,0,10,7,0,22,9,16,,,0,Matches,f11cb3b7
410,Mailton,br BRA,MF,São Paulo,26,1998,4.3,1,0,0,9,10,0,33,4,2,,,0,Matches,d147e379
411,Léo Mana,br BRA,DF,Corinthians,20,2004,2.5,0,0,0,1,0,1,3,3,2,,,0,Matches,d7a180bc
412,Gustavo Mancha,br BRA,DF,Fortaleza,20,2004,11.4,2,1,0,5,8,0,1,13,12,,,0,Matches,d618c9b3
413,Eros Mancuso,ar ARG,DF,Fortaleza,25,1999,26.4,6,0,0,32,29,2,63,23,35,,,0,Matches,e2d40bc5
414,Luis Mandaca,br BRA,MFFW,Juventude,23,2001,27.2,7,1,1,61,49,4,23,23,37,,,0,Matches,e5d0ea65
415,Manoel,br BRA,DF,Fluminense,34,1990,3.8,0,0,0,1,2,0,0,1,0,,,0,Matches,12748e35
416,Elias Manoel,br BRA,FW,Botafogo–RJ,23,2001,0.3,0,0,0,1,0,0,1,0,0,,,0,Matches,7f19cbe0
417,Fernando Marçal,br BRA,DF,Botafogo–RJ,35,1989,11.2,5,0,0,20,10,0,7,12,12,,,0,Matches,9ae9eaea
418,Marcão,br BRA,GK,Juventude,32,1992,5.5,0,0,0,1,0,0,0,0,0,,,0,Matches,9a6cb3a8
419,João Marcelo,br BRA,DF,Cruzeiro,24,2000,2.5,0,0,0,3,1,0,0,7,4,,,0,Matches,e18b8c9e
420,João Marcelo,br BRA,FW,Atlético Mineiro,19,2005,0.8,0,0,0,3,0,2,0,0,2,,,0,Matches,e8ed7091
421,Zé Marcos,br BRA,DF,Vitória,26,1998,27.0,6,0,0,23,20,2,4,18,16,,,0,Matches,7b9ab588
422,Marinho,br BRA,FWMF,Fortaleza,34,1990,7.9,3,1,0,25,25,11,33,6,7,,,0,Matches,c077c735
